CAR_NAME,BRAND,SUB_BRAND,MODAL_YEAR,AMOUNT,FUEL_TYPE,DIS_COVERED,EMI_AMOUNT,Operate
MG HECTOR,MG,HECTOR,2020,613000,DIESEL,12098,"11,984",MANUAL
Hyundai Xcent,Hyundai,Xcent,2017,400000,PETROL,55733,"7,824",MANUAL
Maruti Alto,Maruti,Alto,2017,1395000,PETROL,17897,"26,553",AUTOMATIC
KIA SELTOS,KIA,SELTOS,2019,455000,PETROL,60467,"8,888",AUTOMATIC
Maruti Wagon,Maruti,Wagon,2017,610000,PETROL,84182,"16,064",AUTOMATIC
Renault Duster,Renault,Duster,2014,432000,DIESEL,90841,"8,446",MANUAL
Maruti Celerio,Maruti,Celerio,2016,420000,PETROL,29309,"8,211",MANUAL
Maruti Celerio,Maruti,Celerio,2015,1380000,PETROL,39773,"26,267",MANUAL
KIA SELTOS,KIA,SELTOS,2019,352000,PETROL,66007,"6,875",AUTOMATIC
Maruti Alto,Maruti,Alto,2016,459999,PETROL,19613,"8,993",MANUAL
Maruti Celerio,Maruti,Celerio,2016,613000,PETROL,38929,"11,984",AUTOMATIC
Maruti Baleno,Maruti,Baleno,2017,496000,PETROL,74601,"9,697",AUTOMATIC
Maruti Celerio,Maruti,Celerio,2019,614000,PETROL,23686,"12,004",AUTOMATIC
Maruti Baleno,Maruti,Baleno,2016,673000,PETROL,54853,"13,157",MANUAL
Hyundai NEW,Hyundai,NEW,2020,1744000,PETROL,18062,"33,195",AUTOMATIC
KIA SELTOS,KIA,SELTOS,2022,416000,PETROL,8827,"8,133",MANUAL
Maruti Wagon,Maruti,Wagon,2016,348000,PETROL,48043,"9,164",AUTOMATIC
Nissan Micra,Nissan,Micra,2013,873000,PETROL,63505,"16,617",AUTOMATIC
Mahindra XUV500,Mahindra,XUV500,2017,969999,DIESEL,23745,"18,463",MANUAL
Maruti XL6,Maruti,XL6,2021,869999,PETROL,24293,"16,560",MANUAL
Tata PUNCH,Tata,PUNCH,2022,1927000,PETROL,3572,"36,679",AUTOMATIC
Mahindra XUV700,Mahindra,XUV700,2023,1054000,PETROL,16638,"20,062",AUTOMATIC
Maruti Vitara,Maruti,Vitara,2021,428000,PETROL,22250,"8,367",AUTOMATIC
Maruti IGNIS,Maruti,IGNIS,2018,1364000,PETROL,73809,"25,962",MANUAL
Mahindra XUV300,Mahindra,XUV300,2023,577000,PETROL,5990,"11,280",AUTOMATIC
Maruti Swift,Maruti,Swift,2018,482000,PETROL,37330,"9,423",MANUAL
Hyundai Grand,Hyundai,Grand,2015,372000,PETROL,31281,"7,273",MANUAL
Tata Tiago,Tata,Tiago,2016,764000,PETROL,39182,"14,936",MANUAL
Ford Ecosport,Ford,Ecosport,2017,240000,DIESEL,44703,"4,682",MANUAL
Datsun Redi,Datsun,Redi,2016,706000,PETROL,79233,"13,802",MANUAL
Hyundai Verna,Hyundai,Verna,2018,811999,PETROL,70838,"15,456",MANUAL
Hyundai NEW,Hyundai,NEW,2021,1137000,PETROL,30376,"21,642",MANUAL
Hyundai Creta,Hyundai,Creta,2022,455999,PETROL,15137,"12,017",MANUAL
Toyota Etios,Toyota,Etios,2014,756000,DIESEL,121920,"14,780",MANUAL
Nissan MAGNITE,Nissan,MAGNITE,2021,323000,PETROL,9840,"6,315",MANUAL
Renault Kwid,Renault,Kwid,2017,1085000,PETROL,76813,"20,652",AUTOMATIC
KIA CARENS,KIA,CARENS,2022,1175000,PETROL,41209,"22,365",MANUAL
Volkswagen TAIGUN,Volkswagen,TAIGUN,2021,513999,PETROL,97554,"10,049",MANUAL
Hyundai Grand,Hyundai,Grand,2018,986000,PETROL,43237,"18,768",MANUAL
Mahindra BOLERO,Mahindra,BOLERO,2023,694000,DIESEL,17862,"13,572",MANUAL
Maruti Baleno,Maruti,Baleno,2019,882000,PETROL,59228,"16,788",MANUAL
Skoda Rapid,Skoda,Rapid,2017,210000,DIESEL,62834,"9,885",AUTOMATIC
Maruti Zen,Maruti,Zen,2011,789000,PETROL,69568,"15,425",MANUAL
Skoda Rapid,Skoda,Rapid,2018,651000,PETROL,18349,"12,727",AUTOMATIC
Maruti Swift,Maruti,Swift,2018,984000,PETROL,29716,"18,730",AUTOMATIC
Hyundai VENUE,Hyundai,VENUE,2020,707000,PETROL,29075,"13,822",AUTOMATIC
Renault Duster,Renault,Duster,2019,1024000,PETROL,67575,"19,491",AUTOMATIC
Hyundai Verna,Hyundai,Verna,2019,563000,PETROL,49820,"11,007",AUTOMATIC
Maruti Celerio,Maruti,Celerio,2022,603000,PETROL,28788,"11,789",MANUAL
Honda Jazz,Honda,Jazz,2015,1305000,PETROL,23660,"24,842",AUTOMATIC
Jeep Compass,Jeep,Compass,2018,256000,DIESEL,63398,"5,698",MANUAL
Maruti Alto,Maruti,Alto,2014,991000,PETROL,57348,"18,872",MANUAL
Maruti Baleno,Maruti,Baleno,2023,1415000,PETROL,5154,"26,933",AUTOMATIC
Volkswagen TAIGUN,Volkswagen,TAIGUN,2022,690000,PETROL,7734,"13,490",MANUAL
Tata TIGOR,Tata,TIGOR,2022,843000,PETROL,13622,"16,046",MANUAL
Skoda Rapid,Skoda,Rapid,2017,661000,DIESEL,94742,"14,704",AUTOMATIC
Honda Amaze,Honda,Amaze,2019,508000,DIESEL,130578,"9,931",MANUAL
Maruti Celerio,Maruti,Celerio,2019,754000,PETROL,28904,"14,741",MANUAL
Maruti Vitara,Maruti,Vitara,2016,957000,DIESEL,91544,"18,216",MANUAL
Hyundai Creta,Hyundai,Creta,2017,488999,PETROL,55620,"9,560",AUTOMATIC
Hyundai Grand,Hyundai,Grand,2016,404000,PETROL,42552,"19,018",MANUAL
Hyundai i20,Hyundai,i20,2012,383000,DIESEL,102029,"7,482",MANUAL
Maruti Alto,Maruti,Alto,2019,451000,PETROL,10041,"8,817",MANUAL
Hyundai NEW,Hyundai,NEW,2020,442000,PETROL,29027,"8,636",MANUAL
Maruti S,Maruti,S,2021,360000,PETROL,9677,"8,004",AUTOMATIC
Honda Brio,Honda,Brio,2014,626000,PETROL,73789,"12,238",MANUAL
Maruti Swift,Maruti,Swift,2017,1185000,PETROL,57560,"22,548",MANUAL
Mahindra XUV300,Mahindra,XUV300,2022,684000,PETROL,11911,"13,372",AUTOMATIC
Hyundai GRAND,Hyundai,GRAND,2020,434999,PETROL,10218,"8,504",AUTOMATIC
Hyundai Grand,Hyundai,Grand,2015,285000,PETROL,23523,"6,344",MANUAL
Hyundai Eon,Hyundai,Eon,2014,365000,PETROL,35510,"9,612",MANUAL
Maruti Ritz,Maruti,Ritz,2013,606000,PETROL,73335,"11,854",MANUAL
Hyundai Elite,Hyundai,Elite,2016,413000,DIESEL,76454,"13,718",MANUAL
Hyundai i20,Hyundai,i20,2012,1218000,PETROL,52538,"23,184",MANUAL
Hyundai VENUE,Hyundai,VENUE,2023,453000,PETROL,6278,"8,856",MANUAL
Hyundai Grand,Hyundai,Grand,2015,911999,PETROL,26534,"17,359",MANUAL
Tata NEXON,Tata,NEXON,2023,1903000,PETROL,16129,"36,222",MANUAL
MG HECTOR,MG,HECTOR,2023,1280000,PETROL,15940,"24,364",MANUAL
KIA SONET,KIA,SONET,2022,388000,PETROL,19749,"7,585",AUTOMATIC
Renault Kwid,Renault,Kwid,2017,447000,PETROL,27849,"8,739",AUTOMATIC
Hyundai Grand,Hyundai,Grand,2015,423000,PETROL,24680,"8,270",MANUAL
Tata Zest,Tata,Zest,2017,659000,PETROL,53940,"12,892",MANUAL
Honda City,Honda,City,2016,651000,PETROL,92236,"12,721",AUTOMATIC
Tata Tiago,Tata,Tiago,2020,630000,PETROL,38930,"12,317",AUTOMATIC
Renault TRIBER,Renault,TRIBER,2021,405999,PETROL,14852,"13,472",MANUAL
Hyundai i20,Hyundai,i20,2012,399000,PETROL,99928,"7,801",MANUAL
Maruti Celerio,Maruti,Celerio,2015,692000,PETROL,29628,"13,529",AUTOMATIC
Maruti Swift,Maruti,Swift,2019,429000,PETROL,21955,"8,387",AUTOMATIC
Hyundai Xcent,Hyundai,Xcent,2015,603000,PETROL,54387,"11,789",MANUAL
Maruti Baleno,Maruti,Baleno,2016,555000,PETROL,62524,"10,854",AUTOMATIC
Maruti Swift,Maruti,Swift,2016,1072000,PETROL,70649,"20,405",MANUAL
Toyota Glanza,Toyota,Glanza,2023,532000,PETROL,7757,"10,401",AUTOMATIC
Maruti Baleno,Maruti,Baleno,2018,882000,PETROL,45037,"16,788",MANUAL
Hyundai NEW,Hyundai,NEW,2021,635000,PETROL,31179,"12,414",MANUAL
Tata NEXON,Tata,NEXON,2018,480999,PETROL,38482,"9,404",MANUAL
Mahindra KUV,Mahindra,KUV,2018,590000,PETROL,35107,"11,535",MANUAL
Hyundai Elite,Hyundai,Elite,2016,667000,PETROL,50641,"13,040",MANUAL
Mahindra TUV300,Mahindra,TUV300,2016,582000,DIESEL,54242,"11,378",MANUAL
